日本語,English,中文,한국語,,タグ説明
その勢いのまま\N[1]を押し倒した,,,,,
くっ……！やはりケダモノ…！,,,,,
油断した私がバカでした、覚悟しなさいっ！,,,,,
ぷろぽーず！ぷろぽーず！うれしい！うれしい！,,,,,
はっ……？な、何をわけのわからぬことを…,,,,,
あまりりすの花、嫁入りメスゴブリンは夫に渡す,,,,,
あまりりすの花で永遠の契りむすぶ,,,,,
ゴブリン族の習わし,,,,,
はぁーーー！？そんなしきたりしりませんよ！,,,,,
第一私はメスゴブリンではありませんっ！,,,,,
ブーガ、これで一人前、嫁、守る、オスの役割,,,,,
ふざけないでくださいっ！馬鹿馬鹿しい！,,,,,
押し倒しておきながら何が「守る」ですか！,,,,,
"さっさとその汚らわしい\RB[陰茎,モノ]をしまいなさい！",,,,,
うっ,,,,,
あ……ああ……,,,,,
キシャァァァ！嫁げっと！嫁げっと！,,,,,
もう最悪………,,,,,

207:ゴブリンの花嫁:3,,,,,
くっ…！お、遅かった……！,,,,,
嫁！嫁！また来てくれた！,,,,,
うれしい！うれしい！,,,,,
くどいですよ！私はゴブリンに嫁ぐつもりはありませんっ！,,,,,
私が必要なのはお金だけです……！,,,,,
さ……さっさとしまいなさい…！,,,,,
"その汚らわしい\RB[一物,モノ]を……！",,,,,
ニンゲンのオス、ふにゃふにゃ、粗チン,,,,,
ハァ…？一体何の話を…,,,,,
"ゴブリンの\RB[陰茎,ペニス]、ぬるぬる、バキバキ、最高",,,,,
メス、大喜び,,,,,
"\C[27]ゴブリンは雄々しく猛る\RB[陰茎,オス]を",,,,,
\N[1]に向けて力強く誇示してきた,,,,,
「馬鹿馬鹿しい……」,,,,,
\C[27]「（たしかに…）」,,,,,
馬鹿馬鹿しい……！,,,,,
人間というのはそう単純なものではありません,,,,,
そう、エッチなことばかり考えてるゴブリンとは違うんです,,,,,
さぁ、わかったらさっさとどきなさい,,,,,
あ……ああ……また……,,,,,
キシャァァァ！まーきんぐ！まーきんぐ！,,,,,
何なんですか………もう……,,,,,
あ、ありえません…！ゴブリンとまぐわうなど…！,,,,,
全く、何を期待しているのか分泌液まで垂れ流して、,,,,,
本当に下品で最低最悪です,,,,,
………と、とはいえ,,,,,
ま、たしかに立派な”モノ”であることは認めましょう…！,,,,,
ですが、それだけです,,,,,
ゴブリンと交わるなど、到底あり得ません,,,,,
\N[1]、さっきから何ヒトリゴト言ってる,,,,,
ナカヨシする、ナカヨシ,,,,,
"\C[27]ゴブリンの熱くたぎる\RB[陰茎,オス]は",,,,,
ぬるっと\N[1]のレオタードの隙間に入り込んできた,,,,,
あっ……！こらっ！どさくさに紛れて何をしているんですか！,,,,,
\N[1]のおまんこ、ぬるぬる、やる気満々,,,,,
そ、そんなわけないでしょう！これはあなたの分泌液です！,,,,,
離しなさい！この！この！,,,,,
あ…………,,,,,
"\C[27]ゴブリンは\N[1]の\RB[女性器,おまんこ]に\RB[陰茎,ペニス]を沿わせ",,,,,
熱くたぎる精液を吐き出した,,,,,
あ、ありえません………,,,,,

207:ゴブリンの花嫁:4,,,,,
かよい妻、また来たか,,,,,
さてはむらむら、溜まってるな？,,,,,
ふん……勘違いしないで下さいよ……,,,,,
ただゴブリンの生態に興味があるだけです,,,,,
（人畜無害なゴブリン…真実ならば,,,,,
これは性器の…じゃなくて世紀の大発見です）,,,,,
（研究者とか…よくわからないけど,,,,,
その筋の者に紹介すればきっと莫大なお金が手に入るはず）,,,,,
（見極めなくては……私がこの目で……）,,,,,
くんくん………フェロモンすごいぞ,,,,,
このニオイ、性欲、溜まってるな？,,,,,
ふん……あなたと一緒にしないで下さい,,,,,
あなたが人里に降りて危害を加えようものなら,,,,,
すぐに討伐されてしまいます,,,,,
そうなれば悲しむのはアルです,,,,,
だからこうして私が”手伝って”あげてるのです,,,,,
感謝しなさい,,,,,
また来たか、さてはまたナカヨシしたくなったな,,,,,
ふん……馴れ馴れしいですよ……,,,,,
物珍しいゴブリンの生態に興味があるだけです,,,,,
（ダンジョン探索するならばゴブリンとの取っ組み合いにも,,,,,
慣れておかなければ…）,,,,,
（この安全なゴブリンで慣れておけば,,,,,
いざというときに戦いで役に立つかもしれません）,,,,,
（習うより慣れろ……です）,,,,,
"さ……さぁ！汚らわしい\RB[一物,モノ]を",,,,,
じっくりと見せてみなさい！,,,,,
"こ、これが…ゴブリンの\RB[陰茎,ペニス]……",,,,,
皮が剥けてピンクの鬼頭が丸出しに…慎みの欠片もありませんね,,,,,
なんなんですか…このだらしなくたれ流れてる分泌液は…,,,,,
グロテスク…醜悪…下劣…,,,,,
言葉では言い尽くせません……,,,,,
臭いも濃厚で…ここからでも臭ってます,,,,,
あ～、不潔！ありえない……ありえません……！,,,,,
"（……こんな下品な\RB[陰茎,ペニス]……人間では決して……）",,,,,
相変わらず……なんで凶悪なフォルム……,,,,,
なんなんですか……その反りは…！,,,,,
そんなの挿入したら絶対気持ちい……じゃなくて,,,,,
人間とゴブリンが交尾できるわけないでしょう！,,,,,
グロテスク…醜悪…お下劣…,,,,,
恥ずかしくないのですか,,,,,
エッチするわけでもないのに、そんなにいきり立たせて,,,,,
あ～～…もう臭いも臭くて…最悪,,,,,
ここからでもプンプン臭ってます,,,,,
不潔！信じられない……絶対ありえない……！,,,,,
"（……こんな下品な\RB[陰茎,ペニス]……挿入されたら……）",,,,,
でましたね……！性懲りもなく勃起させて,,,,,
いい加減学んだらどうなんですか,,,,,
私はあなたとまぐわう気なんて毛ほどもないという事を,,,,,
ば、ばかみたいに種をトばすしか脳がないのですか、あなたは,,,,,
いくら顔にかけたところで赤ちゃんはできませんよ,,,,,
わかってるんですか,,,,,
まったく……信じられない低俗さ……,,,,,
"（……ここまで欲望に忠実な\RB[陰茎,ペニス]……",,,,,
人間では決して……）,,,,,
「調子に乗るな」,,,,,
\C[27]「………」,,,,,
\C[27]「絶対内緒ですよ」,,,,,
調子に乗らないでください,,,,,
ウッ,,,,,
キシャァァァ！ウッホ！ウッホ！,,,,,
ま……まぁ今回は私にも落ち度はありましたね,,,,,
これ、ゴブリン同士、ヤる儀式、友好の証,,,,,
擦る、擦る、気持ちよくなる,,,,,
\N[1]、ゴブリンのこと知りたい,,,,,
ならやるべき、これゴブリンの常識,,,,,
"（熱い……\RB[陰茎,ペニス]がドクドクと",,,,,
脈打っているのがわかる）,,,,,
（こ、こんな凶悪なモノ…挿入されて突かれたら……）,,,,,
\N[1]は一瞬頭によぎった淫らな想像に思わず身震いし、,,,,,
その想像に応えるように反射的におまんこから愛液があふれ出た,,,,,
いいですか……,,,,,
妙な真似をしたら蹴り飛ばしますよ……,,,,,
………続けなさい,,,,,
くっ………ふっ……,,,,,
知性の欠片もない腰使い…,,,,,
快楽だけを追求した合理的なピストン…,,,,,
ふんっ……まさにケダモノそのものですね,,,,,
\N[1]、おまんこ、ほぐれてきた,,,,,
\N[1]、そろそろ”ナカヨシ”、するか？,,,,,
調子に乗らないで下さい,,,,,
これはただの生態調査です……,,,,,
決して……いやらしい意味は……,,,,,
あっ……ちょ……,,,,,
\N[1]の豊かな土手に、ゴブリンのピストンにも熱が入る,,,,,
ゴブリンはセックスの動きそのもので,,,,,
\N[1]のオマンコにペニスを沿わせ腰を打ち付けた,,,,,
"待って……\RB[敏感なとこ,クリトリス]が……擦れて…",,,,,
（ま、まずい……このままだと……もう……）,,,,,
アッ……ちょ……ちょっとタイム……！,,,,,
ちょっ……タイ…ムッ………！,,,,,
ちょっとイグッ！,,,,,
も、もうおしまい！おしまいです！,,,,,
さぁ、離れなさい！,,,,,
ウ”ッ,,,,,
キシャァァァ！ウッホホ！ウッホ！,,,,,
（あ……危なかった………）,,,,,
（一瞬、ほんの一瞬だけ……）,,,,,
（”欲しく”なってしまった………）,,,,,
\N[1]、お前、もう立派なゴブリンのメス,,,,,
……誰がゴブリンのメスですか,,,,,
調子に乗るのもいい加減にしなさい,,,,,
私はゴブリンの嫁には……,,,,,
"もうわかってる、\N[1]、本当は欲しい""""",,,,,
"\RB[ゴブリンのペニス,コレ]、滅茶苦茶気持ちいい、評判",,,,,
人間のセックス、満足できなくなるくらい、ヤバい,,,,,
"ゴブリンは天をうがつほど猛る\RB[陰茎,オス]を",,,,,
\N[1]に向けて見せつけてきた,,,,,
人のそれでは決して味わえないであろう独特のフォルム、,,,,,
高い体温、ドクドクとあふれ出る粘液…,,,,,
"味見してみたい……""""",,,,,
\N[1]のおまんこはうずきを隠せずにいた,,,,,
オデもゴブリンのオス,,,,,
\N[1]、そろそろ、めとってやる,,,,,
い、いいですか……,,,,,
ここであったことは、絶対に絶対にぜーーーーーったいに,,,,,
誰にも言わないでくださいよ,,,,,
もし約束を破ったら地獄の底まで追いかけて,,,,,
あなたの息の根を止めます,,,,,
わかりましたね？,,,,,
わかった、わかった,,,,,
誰にも言わない,,,,,
（あ、相手は人でないのだから,,,,,
"これは\RB[性交渉,セックス]ではありません……）",,,,,
"（そう…\RB[性玩具,ディルド]みたいなもの…",,,,,
ちょっと確かめてみるだけです）,,,,,
ゴムは…,,,,,
いや、こんなサイズに合うものはありませんね…,,,,,
や、やむをえません……,,,,,
少しぐらいなら……大丈夫でしょう…,,,,,
くっ……あぁ……くぁぁぁ……！,,,,,
いきなり……奥まで！！,,,,,
前戯もなしに！,,,,,
い、いや……ゴブリンとキスなどしたくありませんがっ！,,,,,
（あっ、ヤっちゃった、とうとうヤっちゃいました）,,,,,
"（\RB[亜人,ゴブリン]と…セックス…）",,,,,
（ありえない……こんな背徳的行為に興じるなど…）,,,,,
（こんな秘め事がもし人にバレたら、,,,,,
変態性欲の異常者扱いは絶対に免れない）,,,,,
（な、何があっても隠し通さねば……！）,,,,,
それはともかく……,,,,,
なにこれ太っっっっと\I[15]硬っっっった\I[15],,,,,
でも触手みたいにぬるっっっっぬるっ……\I[15],,,,,
愛情の欠片もない……,,,,,
これは…”生殖”……！生殖そのもの……\I[15],,,,,
\N[1]、そろそろ”ナカダシ”、するか？,,,,,
決して……これはセックスなどでは……,,,,,
こら、早い早い……\I[15],,,,,
わきまえなさい、女性はもっと優しく…丁寧に……,,,,,
お”っお”っお”っお”っお”っ\I[15],,,,,
おげ……お下品な声が\I[15]お”っ\I[15],,,,,
止ま”らな”い～～～っ\I[15],,,,,
\N[1]の豊かなおまんこに、ゴブリンのピストンにも熱が入る,,,,,
はいストップ！も、もうおしまい！おしまいです！,,,,,
もうわかりましたっ！さぁ、離れなさい！,,,,,
アッ……ちょ……ちょっとだけタイム……！,,,,,
こら！止まりなさいっ！ちょっ……タイ…ムッ………！,,,,,
止ま…………止まらないで！！,,,,,
馬鹿みたいに腰振って下さいっ！！イグッ！\I[15]\I[15],,,,,
あ”っ…………\I[15],,,,,
\N[1]、顔射マーキング、大好き,,,,,
かけてやったぞ、夫の務め,,,,,
ウッホウッホ！！,,,,,
ハァ…ハァ…\I[15],,,,,
（と、とうとう……一線を越えてしまった………）,,,,,
（ゴブリンに………自ら体を許すなんて……）,,,,,

207:ゴブリンの花嫁:5,,,,,
\N[1]、ナカヨシしにきたか、さてはハマったな,,,,,
ふん……！,,,,,
私はゴブリンの嫁になった覚えなど……,,,,,
もうわかってる、ニンゲン、みんな最初はそういう,,,,,
"\RB[ゴブリンのペニス,コレ]、ハマったやつ",,,,,
お前で20人目、\N[1]、20人目の嫁,,,,,
20人………っ！？あ、あなた私のほかにも…！？,,,,,
あ、あなたねぇ！節操ってものがないんですか！,,,,,
嫁、嫁と言っておきながら20人と交わるなんて…！,,,,,
嫉妬したか、ニンゲンのメス、独占欲が強い,,,,,
断じて嫉妬ではありません！！,,,,,
ゴブリン、おまんこはシェアするもの、理解できない,,,,,
"またあの快感を味わいたい……""""",,,,,
おしゃべりもう飽きた,,,,,
さっさとヤることヤる,,,,,
ちょっと遊ぶだけです）,,,,,
（くぅ…！こ、このガツンと来る異物感…！）,,,,,
"（\RB[亜人,ゴブリン]の\RB[陰茎,ペニス]でしか味わえない…）",,,,,
しかしこの感覚……,,,,,
何度味わっても飽きない……っ！,,,,,
太っっっっと\I[15]硬っっっった\I[15],,,,,
人間チンポじゃこんなの絶対無理ですっ\I[15],,,,,
だ、だめ……我慢しなさい！,,,,,
まだ…もうちょっとじっくり味わってから……！,,,,,
（まずい……！本当に癖になってしまう…！）,,,,,
（味見のつもりが…虜にされる……！）,,,,,
"（\RB[亜人,ゴブリン]ペニスで……堕とされる！！",,,,,
ちょ……ダメ……堕とされるから…っ！\I[15],,,,,
ゴブリンは\N[1]の豊満な下半身に小柄な体躯を打ち付けている,,,,,
あっ、あっ、あっ、ピストン、また早くなった！\I[15],,,,,
やば…え……これっ……やばいですって！,,,,,
"あ”っ\I[15]\RB[射精,だ]す……！",,,,,
"\RB[射精,だ]しちゃうんですかぁ！？",,,,,
ピストンは最高潮に達し、絶頂の時を迎えようとしている,,,,,
「ダメっ！外に出して！」,,,,,
「中で出して\I[15]お嫁さんにして\I[15]」,,,,,
ダメッ…だめだめだめだめ！！,,,,,
"\RB[膣内,なか]はダメーーーッ！！",,,,,
ハァ……ハァ…\I[15],,,,,
最後の一線は……なんとか守れましたね……,,,,,
あっ、あっ、あっ\I[15]もういい…！もう無理…！,,,,,
思いっきり腰振ってください！！！\I[15],,,,,
ほらっ！サルみたいに腰振って下さいっ！！\I[15]\I[15],,,,,
おまんこえぐって好きなだけ中に出すんですよっ！！\I[15],,,,,
夫なら妻を絶頂させてみなさいっ！！！\I[15],,,,,
お”お”おっ～～～～！イグッ！私もイグッ！！！\I[15],,,,,
\fs[35]お嫁さんにして！！\I[15],,,,,
"あっ………あああ～～～～…で、\RB[射精,で]てる……\I[15]",,,,,
"\C[27]ゴブリンは\N[1]の\RB[女性器,おまんこ]に熱くたぎる精液を吐き出した",,,,,
\N[1]、よかったな、お前もうゴブリンの嫁,,,,,
（とうとう……最後の一線まで許してしまいました……）,,,,,
（も、もう戻れない……\I[15]）,,,,,

207:ヘグイの宴:1,,,,,
毒沼の奥深くの集落、ヘグイ村,,,,,
ここで人々はささやかな幸せを享受し、慎ましく暮らしていた,,,,,
一章 酒池肉林の宴,,,,,
en(s[777])二章 放尿,,,,,
en(s[778])三章 強制交尾,,,,,
en(s[779])四章 フェラチオ奉仕,,,,,
夜な夜な村民が集まる小屋の中で酒池肉林の乱交が行われていた,,,,,
むせ返るような汗と尿と精液に臭い…,,,,,
小屋に蔓延する怪しい煙にめまいを起こしながら、,,,,,
私は奥のベッドに横たわる…,,,,,
催した尿意に股を開く,,,,,
暗い小屋の中で男達の眼光が光る,,,,,
突如乗り込んできた男に背後をとられるやいなや、,,,,,
そのまま犬のような交尾が始まった,,,,,
裸で椅子に座る男の前にひざまずくと、,,,,,
私は無意識のうちに怒張する陰茎を口で愛撫していた,,,,,

207:ヘグイの宴:2,,,,,
\c[27]\n[1]は見知らぬ男の上に裸で跨った,,,,,
\c[27]肉の弾ける音がこだまする中、沈黙が流れる……,,,,,
あ～…え～っと……その…,,,,,
(あれ……何も…思考できない……),,,,,
おじさん、私とセックスしましょう？\I[15],,,,,
(え……？私、何を言って……？),,,,,
\c[27]\n[1]の精神はもはや完全に肉体の欲求に支配されていた,,,,,
ゴムをつける,,,,,
（は？私…今なんて……ことを！）,,,,,
す…すみません…人違いです……し、失礼します……,,,,,
えへぇぇ～？本当に間違いかなぁ～？,,,,,
\c[27]男はいきり立ったペニスを\N[1]に見せつけてきた,,,,,
"ほーら…\RB[陰茎,コレ]で遊びにきたんだろ？",,,,,
は…？な、何を……わけのわからないことを……\I[16],,,,,
ほら、コンドーム着けたらセックスじゃないから,,,,,
そ、そんなわけ……！,,,,,
"コンドーム着けたらスポーツ""だから""",,,,,
あ……？,,,,,
そ……うでしたっけ…？,,,,,
復唱しろ,,,,,
「コンドーム着けたら\RB[運動,"スポーツ]""」""",,,,,
はい、コンドーム着けたら\RB[運動,"スポーツ]""です""",,,,,
\c[27]\N[1]の常識が書き換えられた,,,,,
"では……\RB[運動,スポーツ]で軽く汗を流しましょうか",,,,,
"あれ、\RB[運動,スポーツ]中に何で突然エッチな声出してるの？",,,,,
あ……あは\i[15]あれぇ～……？\i[15],,,,,
ん”……！お”おっ！……っ！,,,,,
"へへぇ…若いのになかなか\RB[運動,スポーツ]上手いねぇ",,,,,
ふふんっ…！そうでしょう,,,,,
ふっ、普段からっ、鍛えてますからっ,,,,,
ウッ……やっぱり若い女とのセックスはやばいな…,,,,,
ちょ！な…何言ってるんですか！セクハラですよっ！,,,,,
どう見てもゴム着けてるからセックスじゃないでしょう\i[15],,,,,
"健全な\RB[運動,スポーツ]ですよっ！",,,,,
うっ\I[15],,,,,
え、でも甘イキしなかった？,,,,,
"\RB[運動,スポーツ]ではイかないでしょう",,,,,
じゃあ……セックスごっこ……です\i[15],,,,,
セックスごっこ？本当に？,,,,,
ご、ごっこ……ですよ\i[15]だってゴム着けてるし……,,,,,
"そうかなぁ～、でも勃起した\RB[陰茎,ちんちん]が\RB[挿入,はい]ってるよ？",,,,,
んっ……んっ……？いや…でも…さっき…,,,,,
やっぱセックスかも\i[15]これセックスかもーーーっ\i[15],,,,,
あーあ、セックスしちゃったねぇ,,,,,
知らないおじさんとセックスしちゃったねぇ,,,,,
おおっ！？\i[15],,,,,
"おら\RB[肉便器,オナホ]、腰振って馬鹿になれ",,,,,
はっはひぃ\I[15]か、かしこまりましたぁ\I[15],,,,,
ん…んほぉ…\I[15] おちんちんが…お…奥でキスしてる…,,,,,
き、気持ちいいーーーっ\i[15]も、戻れなくなるゥ\I[15],,,,,
お、奥…擦れて……お”っ\i[15]お”っ！お”っ！お”っ！,,,,,
こ、これ…勝手に腰が動くぅ……,,,,,
腰…！止まんなぁい\i[15],,,,,
おっ…すっご……重量級の肉厚おまんこ…,,,,,
あっ…ちょっと………,,,,,
イグッ…！イグんで……！,,,,,
あっ……！そのまま！そのまま！,,,,,
ペニス硬くしといて…ください…！,,,,,
本気で腰振りますね,,,,,
お”っ\i[15]お”っ\i[15]お”っ\i[15]お”っ\i[15]お”っ\i[15],,,,,
\c[27]\n[1]は重量のある尻を男の腰めがけ軽快に叩きつける,,,,,
\c[27]ベチベチと生々しい破裂音とともに、,,,,,
\n[1]の本気の腰振りに年季の入ったベッドが悲鳴を上げる,,,,,
う…うわ…なんだこの重厚感のある尻はッ！,,,,,
サンドバッグを叩きつけられているようだッ！,,,,,
ぐっ…悔しいが…デカ尻叩きつけられて一気に精子昇ってきた！,,,,,
だ”っだめっ\i[15]まだだめですよっ！,,,,,
"もっとぉ\I[15]もっとペニスで\RB[子宮口,なか]にキスして下さい！",,,,,
\c[27]\n[1]の脳が焼き切れるほどの快楽の奔流が流れ込む,,,,,
\c[27]\n[1]は、股を開き一心不乱に腰を振り,,,,,
快楽をむさぼるケダモノとなった,,,,,
"\RB[精子,ザーメン]\RB[射精,で]る！\RB[射精,で]るぞ！",,,,,
あっ……！待って！待って待って！,,,,,
もうちょい…！もうちょいだからぁ…！,,,,,
お”っーーー～～～～！！！\i[15],,,,,
"おぉ""、\RB[射精",で]るぅ\RB[射精,"で]るぅ～～""",,,,,
ば、バカになりゅ～～～～\i[15],,,,,
かったいチンチンでバカになりゅぅぅ～\i[15],,,,,
おまんこイグッ！！！イグッイグッイグッ\i[15],,,,,
あっ…\i[15]あーあーっ…！！！\i[15],,,,,
ふぅ……一瞬で絞られちゃったよ,,,,,
(んっ…量すご……粘りやば……\i[15]）,,,,,
(これコンドームがなかったら,,,,,
"絶対\RB[妊娠,デキ]てたやつだ…\i[15]）",,,,,
本気でセックスしてなかった？大丈夫？,,,,,
ふーっ…ふーっ…\i[15],,,,,
っ…こ、こんなの…スポーツ…なんで……\i[15],,,,,
こ、これぐらい…余裕です……\i[15],,,,,
そうかい、じゃあまた遊ぼうね\i[15],,,,,
（不潔……そんなことありえません……！）,,,,,
ほら、ゴム着けなさい,,,,,
着け方くらいわかるだろう,,,,,
そうか……仕方ないな……,,,,,
じゃあ生セックスするぞ,,,,,
生……セックス……？,,,,,
そうそう,,,,,
あ～……,,,,,
「わかりました」って言え,,,,,
わかりました、生セックスします,,,,,
"\c[27]硬く怒張した\RB[男根,ペニス]は、\n[1]のビッチリと締まった",,,,,
性器の肉をかき分け、奥深くまで侵入した,,,,,
"\c[27]\n[1]は無意識に\RB[女性器,おまんこ]を締め上げ、",,,,,
"一分の隙もないほどビッチリと\RB[男根,ペニス]の形へと収縮させる",,,,,
くおぉ………\i[15],,,,,
外…外に……ピュッ！…れすよぉ\i[15],,,,,
お”お”っ！お”っ！お”っ！お”っ！,,,,,
はっはっ！生セックス…！,,,,,
やっちゃったねぇ…我慢できなかったねぇ,,,,,
べ、別に……外に出すならっ…これぐらい普通ですし…？\I[15],,,,,
んっ…くぅぅ\I[15],,,,,
"（\RB[陰茎,ペニス]に走るぶっとい血管まで…わかります\I[15]）",,,,,
（こ、これは…イイかも……\I[15]）,,,,,
あらら、小娘のくせにチンポハメていきなり軽イキかよ,,,,,
相当好きモノだな、こいつ,,,,,
\c[27]見知らぬ男と生セックスしているという背徳感に,,,,,
\n[1]の腰は加速した,,,,,
\c[27]脳が焼き切れるほどの快楽の奔流が流れ込む,,,,,
あの……セックス\i[15]これ本気セックスでは？\i[15],,,,,
わ、忘れないで下さいよ……”外”ですからね…！,,,,,
ほら、腰振ってもっと馬鹿になれ\i[15],,,,,
腰…！止まんなぁい～～\i[15],,,,,
うっ………重量級の生まんこ……！,,,,,
イグッ…！軽く…イグんで……！,,,,,
あっ……！そうそう！その角度のまま！,,,,,
"\RB[陰茎,ペニス]を硬くしといて…ください…！",,,,,
ちょっとだけ…本気で腰振りますね,,,,,
"す”んごっっ\i[15]生\RB[陰茎,チン]ゴリゴリくりゅ\I[15]",,,,,
おおっ！肉厚デカ尻叩きつけられて一気に精子昇ってきた！,,,,,
生！生なんですよ！！！,,,,,
む、無責任……ですよ\I[15],,,,,
絶対に外にピュッ！ですよ！\i[15],,,,,
"おぉ""、無理無理！""",,,,,
中にピュッ！っするぞ！！！,,,,,
\c[27]金玉はマグマのようにドクドクと脈打ち,,,,,
今まさに濃厚な精液が放出されようとしている,,,,,
\C[1]「外に射精して！」,,,,,
\C[27]「中に射精して！」,,,,,
（だ、だめですっゥっ！外に！！）,,,,,
（外に射精してっっ！！）,,,,,
おっ\i[15]おっ\i[15]おっ\i[15]おっ\i[15],,,,,
\c[27]\N[1]は肉体の主導権を完全に失い,,,,,
言葉を紡ぐことすらできない,,,,,
中にピュッ！中にピュッてして！\i[15],,,,,
"あ”っ”\i[15] ちがう""\i[15]\i[15]""",,,,,
お”っ？\i[15]おお”っ？\i[15],,,,,
ソト？ナカ？どっちでしたっけ？？？\i[15],,,,,
どっち？？？どっちだっけぇ？？？\i[15],,,,,
"な、\RB[膣内,なか]ですっ\i[15]",,,,,
"\RB[膣内,なか]に\RB[射精,だ]してぇ～～～\i[15]",,,,,
"おぉ""、無理無理、\RB[射精",で]るぅ\RB[射精,"で]るぅ～～""",,,,,
お”お”っ～～～？？？？？\i[15],,,,,
"おっ…おまんこに\RB[射精,で]るゥ……",,,,,
\c[27]\n[1]の絶頂で収縮した膣内の刺激に耐えきれず、,,,,,
男の陰茎はドクドクと精子を吐き出した,,,,,
(あ……ああ……),,,,,
"(\RB[射精,で]てる……中で……)",,,,,
若い娘の腰振りはすごいねぇ、びっくりして射精しちゃった,,,,,
デキたら産みなさい、わかったね？,,,,,
はぁ…\i[15]はぁ…\i[15]はぁ…\i[15],,,,,
わかりましたぁ…\i[15],,,,,

207:ヘグイの宴:3,,,,,
(ここでシちゃお～～っと……\i[15]）,,,,,
(いや、今更ですね……\i[15]）,,,,,
(あ、いいこと思いつきました\i[15]）,,,,,
"あ、\RB[放尿,で]る\RB[放尿,で]る",,,,,
\^\fs[30]いやぁ～～ん\i[15]見ないで～～\i[15],,,,,
\^\N[1]はわざとらしく声を上げ、,,,,,
衆目の中、放尿を開始した,,,,,
\^\c[27]大股開きで放尿を始めた\n[1]の股間に,,,,,
男たちの視線が集まる……,,,,,
\^\c[27]股を広げ堂々と放尿する\n[1]を見て、,,,,,
村の男たちはニヤニヤと笑みを浮かべている……,,,,,
\^\c[27]\n[1]は衆目の好奇の目線にゾクゾクと背筋を震わせた,,,,,
\^見ないでくださぁ～い\i[15],,,,,
\^オカズにしてもいいですよ～\i[15],,,,,
\^や～ん、お漏らし許してぇ…\i[15],,,,,
(やっぱり……\i[15],,,,,
ここではどんな変態行為も許される……\I[15]）,,,,,
(やば……\i[15]）,,,,,

207:ヘグイの宴:4,,,,,
あ、よかった、オナホいた,,,,,
遅れたからもうダメかと思った,,,,,
あの…何の話,,,,,
お”…っ？……お”お”っ”っ！,,,,,
あ～～…オナホ余っててよかった…,,,,,
男は独り言をつぶやくや否や,,,,,
"いきり立った\RB[陰茎,ペニス]を挿入してきた",,,,,
は…はぁ～～！ちょっと貴方…！いきなり！！,,,,,
やんっ\i[15]ちょ……あっ……！,,,,,
"\c[27]生\RB[陰茎,ペニス]だった",,,,,
\c[27]男の力強いピストンで\n[1]の尻肉はぶるんぶるんと波打ち、,,,,,
そのたびに膣奥に硬く怒張したペニスが突き立てられる,,,,,
あっ！あっ！あっ！あっ！ちょ…！！！,,,,,
お”っ”\i[15]キッツ…！！,,,,,
\c[27]男のペニスが膣肉をかき分けて侵入するたびに,,,,,
\n[1]から下品な喘ぎ声が漏れる,,,,,
お”っ\i[15]あ”っ\i[15]あ”っ\i[15],,,,,
\c[27]\n[1]はまだ顔すらもろくに見ていない男と,,,,,
"息ピッタリの\RB[合体交尾,セックス]を開始した",,,,,
"あっ、オナホに\RB[射精,で]る",,,,,
精子出る精子出る,,,,,
ダメッッッッ！！！！,,,,,
(あ…っぶな……),,,,,
(後、１秒遅れてたら……中で…出されてた…),,,,,
ふぅ…すっきりした,,,,,
\c[27]男は射精すると足早に立ち去った,,,,,
(まだっ…私…イってないのにぃ……）,,,,,
ず、ずるい…！,,,,,
誰かぁ…,,,,,
お…おちんちん……！,,,,,
おちんちんもっと突いてぇ～～ん\i[15],,,,,
\c[27]一人取り残された\n[1]はガクガクと腰を振り、,,,,,
"突如始まり、瞬く間に終わった\RB[合体,セックス]の余韻に酔いしれている",,,,,

207:ヘグイの宴:5,,,,,
へっ…へっ…へっ…\i[15],,,,,
(ニ、ニオイ……すっご……\i[15]）,,,,,
お～～、うぶい娘っ子じゃの,,,,,
ほれもっと嗅いでいけ,,,,,
"\c[27]\RB[陰茎,ペニス]が漂わせるオスのフェロモンに",,,,,
\n[1]は無意識に吸い寄せられ、ひざまずいた,,,,,
(頭がクラクラするほどのオス臭……\i[15]）,,,,,
"ほれ、さっさと\RB[掃除,フェラ]せんかい",,,,,
(だ、誰が…！）,,,,,
は…はぁ～～い\i[15],,,,,
(あ…あれ？）,,,,,
おちんちん、フェラチオお掃除させて頂きますぅ\i[15],,,,,
んぶぅ……,,,,,
お～～、そうそう……,,,,,
しっかり亀頭を頬張るんじゃぞ,,,,,
うっ……下でカスを舐めとれ……そうそう,,,,,
んぅ……ちゅぴ……ちゅぷ……,,,,,
\c[27]\n[1]は口内で下を使い、陰茎の皮の中を掃除した,,,,,
最近来たにしては、なかなか使える便所だな……,,,,,
よし、お口でジュポジュポしてみろ,,,,,
ふぁい……ちゅぷ……ちゅぷ……,,,,,
ぐっぽ！ぐっぽ！ぐっぷ！,,,,,
お”お”っ！すごっ…！生娘のくせにっ！,,,,,
(鼻の中にくっさいおちんちんの臭いが突き抜けて……),,,,,
くっぽ…くっぽ…くっぽ…,,,,,
(あっ……おちんちん、すっごい硬くなってきた),,,,,
"(\RB[射精,だ]しちゃうんだ……\RB[精子,ザーメン]…)",,,,,
(おクチなのに……赤ちゃんデキないのに…出しちゃうんだ…\i[15]),,,,,
"お”っ！お”っ！お”っ！\RB[射精,だ]すぞッ！",,,,,
